Label,Value
3225,79.3197
2713,205.845
2457,234.535
2969,122.901
2649,237.945
3417,648.523
2905,261.932
3289,96.4859
2521,293.132
3033,314.675
3129,411.652
2617,198.563
3385,181.845
2873,157.798
2233,189.827
3257,272.677
3001,213.659
2681,148.028
2425,377.781
2937,125.833
2297,385.422
3321,216.375
2809,217.343
3065,318.068
3077,211.02
2565,139.77
3333,68.4387
2821,221.936
3205,128.621
2693,274.778
2437,339.725
2949,412.308
3141,144.436
2629,326.213
2373,182.149
3397,224.865
2885,114.27
3269,168.381
2757,213.446
2501,330.237
3013,361.759
3109,116.01
2597,505.962
2341,192.497
3365,213.607
2853,122.775
3237,116.777
2725,158.27
2981,376.093
3173,386.596
2661,167.012
2917,166.484
3301,205.332
2789,447.464
2533,242.61
3093,164.636
2581,324.456
2325,178.162
3349,161.788
2837,133.561
3221,72.6314
2709,306.128
3157,185.172
2645,569.394
2389,124.427
3413,75.8939
2901,361.26
2261,107.242
3285,141.711
3029,181.946
3125,166.119
2613,195.538
2357,227.418
3381,176.944
2869,161.407
3253,151.741
2485,314.071
2997,291.146
3189,172.553
2677,416.855
2421,354.609
3317,248.229
2805,136.448
2549,264.356
3061,191.874
3085,196.133
2573,119.945
2317,570.682
2829,194.14
3213,188.11
2445,201.788
2957,323.415
3149,192.274
2637,235.029
2381,308.184
3405,164.415
2893,291.198
2253,246.729
3277,132.199
3021,181.847
3117,222.991
2605,257.403
2861,313.957
3245,71.1494
2477,217.877
2989,104.139
3181,32.7053
2669,643.468
2925,306.332
2285,144.12
3309,179.965
2797,219.829
2541,224.891
3101,413.162
2333,307.982
3357,41.1949
2845,332.947
3229,127.737
2717,204.415
2461,86.3676
2973,399.811
3165,249.897
2653,276.247
3421,397.969
2909,116.966
2269,117.457
3293,86.0466
2781,252.055
2525,211.745
3037,402.191
3133,115.218
2365,131.909
3389,175.264
2877,525.217
2237,128.392
3261,121.798
2493,237.491
3005,203.783
3197,109.518
2685,151.031
2429,508.049
2941,519.369
2301,163.485
3325,140.532
2813,301.637
2557,124.945
3069,89.7376
3075,309.006
2563,384.228
2307,348.818
3331,212.39
2819,610.868
3203,154.586
2691,208.472
2435,66.0636
2947,230.678
3139,247.767
2627,157.084
2371,88.7114
3395,161.457
2883,302.99
3267,214.469
2755,282.99
2499,171.595
3011,619.77
3107,180.864
2595,183.33
2339,133.127
3363,114.714
2851,297.358
3235,255.206
2467,22.1141
2979,234.948
3171,161.955
2659,209.545
2403,213.483
2275,228.309
3299,122.759
2787,79.2877
2531,86.8275
3043,131.847
3091,179.78
2579,338.525
2323,152.519
3347,72.7076
3219,85.3711
2707,153.213
2451,202.556
2963,270.305
3155,192.646
2643,461.656
2387,190.331
3411,78.3225
2899,158.834
3283,170.908
2771,312.796
2515,110.854
3027,190.218
3123,478.922
2611,186.347
2355,264.892
3379,126.864
2867,400.255
3251,343.238
2483,187.939
2995,855.106
2419,83.9934
2931,782.115
2291,247.593
3315,162.433
2803,66.4455
